Analysis_ID,Sample_ID,raw_DOC,sd_DOC,raw_TDN,sd_TDN,Site,Year,Replicate,Treatment
MICR-B-1,Before,79.09,1.38,NA,NA,MICR,2017,1,Before
MICR-B-2,Before,80.12,0.65,NA,NA,MICR,2017,2,Before
MICR-J-1,John,83.58,0.32,NA,NA,MICR,2017,1,Experimental
MICR-J-2,John,103.55,0.93,NA,NA,MICR,2017,2,Experimental
MICR-P-1,Paul,94.14,1.85,NA,NA,MICR,2017,1,Experimental
MICR-P-2,Paul,NA,NA,NA,NA,MICR,2017,2,Experimental
MICR-G-1,George,87.43,1.09,NA,NA,MICR,2017,1,Experimental
MICR-G-2,George,86.97,1.54,NA,NA,MICR,2017,2,Experimental
MICR-R-1,Ringo,82.09,1.31,NA,NA,MICR,2017,1,Experimental
MICR-R-2,Ringo,NA,NA,NA,NA,MICR,2017,2,Experimental
MICR-Y-1,Yoko,77.17,1.48,NA,NA,MICR,2017,1,Control
MICR-Y-2,Yoko,77.22,0.79,NA,NA,MICR,2017,2,Control
ABUR-B-1,Before,96.60,1.36,NA,NA,ABUR,2017,1,Before
ABUR-B-2,Before,67.12,0.45,NA,NA,ABUR,2017,2,Before
ABUR-J-1,John,103.52,2.03,NA,NA,ABUR,2017,1,Experimental
ABUR-J-2,John,103.68,1.09,NA,NA,ABUR,2017,2,Experimental
ABUR-P-1,Paul,91.80,0.43,NA,NA,ABUR,2017,1,Experimental
ABUR-P-2,Paul,107.81,0.90,NA,NA,ABUR,2017,2,Experimental
ABUR-G-1,George,89.24,1.28,NA,NA,ABUR,2017,1,Experimental
ABUR-G-2,George,105.82,2.06,NA,NA,ABUR,2017,2,Experimental
ABUR-R-1,Ringo,82.00,1.47,NA,NA,ABUR,2017,1,Experimental
ABUR-R-2,Ringo,80.49,1.23,NA,NA,ABUR,2017,2,Experimental
ABUR-Y-1,Yoko,101.54,1.36,NA,NA,ABUR,2017,1,Control
ABUR-Y-2,Yoko,75.77,1.26,NA,NA,ABUR,2017,2,Control
GOLB-B-1,Before,68.72,0.72,NA,NA,GOLB,2017,1,Before
GOLB-B-2,Before,93.58,1.19,NA,NA,GOLB,2017,2,Before
GOLB-J-1,John,111.89,1.66,NA,NA,GOLB,2017,1,Control
GOLB-J-2,John,99.26,1.66,NA,NA,GOLB,2017,2,Control
GOLB-P-1,Paul,118.27,0.48,NA,NA,GOLB,2017,1,Experimental
GOLB-P-2,Paul,116.34,1.23,NA,NA,GOLB,2017,2,Experimental
GOLB-G-1,George,114.26,0.93,NA,NA,GOLB,2017,1,Experimental
GOLB-G-2,George,87.81,1.40,NA,NA,GOLB,2017,2,Experimental
GOLB-R-1,Ringo,83.44,1.52,NA,NA,GOLB,2017,1,Experimental
GOLB-R-2,Ringo,104.77,1.72,NA,NA,GOLB,2017,2,Experimental
GOLB-Y-1,Yoko,109.55,0.99,NA,NA,GOLB,2017,1,Experimental
GOLB-Y-2,Yoko,84.33,1.31,NA,NA,GOLB,2017,2,Experimental
GOSL-B-1,Before,231.21,3.36,NA,NA,GOSL,2017,1,Before
GOSL-B-2,Before,239.29,3.27,NA,NA,GOSL,2017,2,Before
GOSL-J-1,John,237.88,3.45,NA,NA,GOSL,2017,1,Control
GOSL-J-2,John,243.62,3.03,NA,NA,GOSL,2017,2,Control
GOSL-P-1,Paul,212.98,2.55,NA,NA,GOSL,2017,1,Experimental
GOSL-P-2,Paul,212.72,0.96,NA,NA,GOSL,2017,2,Experimental
GOSL-G-1,George,215.61,3.17,NA,NA,GOSL,2017,1,Experimental
GOSL-G-2,George,214.87,2.67,NA,NA,GOSL,2017,2,Experimental
GOSL-R-1,Ringo,213.68,2.65,NA,NA,GOSL,2017,1,Experimental
GOSL-R-2,Ringo,217.98,1.80,NA,NA,GOSL,2017,2,Experimental
GOSL-Y-1,Yoko,211.70,4.05,NA,NA,GOSL,2017,1,Experimental
GOSL-Y-2,Yoko,213.49,3.39,NA,NA,GOSL,2017,2,Experimental
8.15.18-Before,Before,80.99,0.89,6.64,0.21,MICR,2018,NA,Before
8.15.18-Pink,Pink,87.09,1.05,8.99,0.01,MICR,2018,NA,Experimental
