Line,Sample_ID,mean_RFU,BF_cor,Conc,Site,Year,Sample_ID,Replicate,Treatment
1,Before 1,79572.972,65636.15,0.207718765,ABUR,2017,Before,1,Before
2,Before 2,71360.962,57424.14,0.179822814,ABUR,2017,Before,2,Before
3,George 1,140176.822,126240,0.413588219,ABUR,2017,George,1,Experimental
4,George 2,134009.916,120073.094,0.392639425,ABUR,2017,George,2,Experimental
5,John 1,39559.376,25622.554,0.071793784,ABUR,2017,John,1,Experimental
6,John 2,62215.018,48278.196,0.148754318,ABUR,2017,John,2,Experimental
7,Paul 1,32887.702,18950.88,0.049130308,ABUR,2017,Paul,1,Experimental
8,Paul 2,43404.418,29467.596,0.084855275,ABUR,2017,Paul,2,Experimental
9,Ringo 1,804270.91,790334.088,2.669495849,ABUR,2017,Ringo,1,Experimental
10,Ringo 2,713830.872,699894.05,2.362273762,ABUR,2017,Ringo,2,Experimental
11,Yoko 1,73299.95,59363.128,0.186409498,ABUR,2017,Yoko,1,Control
12,Yoko 2,62951.674,49014.852,0.151256716,ABUR,2017,Yoko,2,Control
1,Before1,486243.502,466713.422,1.585661071,ABUR,2018,Before,1,Before
2,Before2,86008.424,66478.344,0.192909295,ABUR,2018,Before,2,Before
3,Black1,280871.34,261341.26,0.870999965,ABUR,2018,Black,1,Control
4,Black2,274846.934,255316.854,0.85003603,ABUR,2018,Black,2,Control
5,Blue1,286958.476,267428.396,0.89218219,ABUR,2018,Blue,1,Control
6,Blue2,276807.59,257277.51,0.856858788,ABUR,2018,Blue,2,Control
7,Green1,291957.558,272427.478,0.909578168,ABUR,2018,Green,1,Control
8,Green2,307793.802,288263.722,0.964685674,ABUR,2018,Green,2,Control
9,Orange1,244293.104,224763.024,0.743713763,ABUR,2018,Orange,1,Experimental
10,Orange2,251137.628,231607.548,0.767531573,ABUR,2018,Orange,2,Experimental
11,Pink1,711926.422,692396.342,2.371000251,ABUR,2018,Pink,1,Experimental
12,Pink2,689435.696,669905.616,2.292736249,ABUR,2018,Pink,2,Experimental
13,Purple1,275686.966,256156.886,0.852959202,ABUR,2018,Purple,1,Control
14,Purple2,279897.288,260367.208,0.867610426,ABUR,2018,Purple,2,Control
15,Red1,393137.394,373607.314,1.261667237,ABUR,2018,Red,1,Experimental
16,Red2,356628.27,337098.19,1.134621533,ABUR,2018,Red,2,Experimental
17,Yellow1,156077.1367,136547.0567,0.436736809,ABUR,2018,Yellow,1,Experimental
18,Yellow2,163505.502,143975.422,0.462586289,ABUR,2018,Yellow,2,Experimental
1,BeforeA,79002.23,69160.2025,0.192030323,ABUR,2019,Before,1,Before
2,BeforeB,76753.298,66911.2705,0.18479298,ABUR,2019,Before,2,Before
3,BlackA,98827.362,88985.3345,0.255830065,ABUR,2019,Black,1,Control
4,BlackB,97655.15,87813.1225,0.252057741,ABUR,2019,Black,2,Control
5,GreenA,110012.42,100170.3925,0.291824974,ABUR,2019,Green,1,Control
6,GreenB,106091.142,96249.1145,0.279205814,ABUR,2019,Green,2,Control
7,OrangeA,126214.704,116372.6765,0.343965941,ABUR,2019,Orange,1,Experimental
8,OrangeB,121025.256,111183.2285,0.327265651,ABUR,2019,Orange,2,Experimental
9,PinkA,210926.824,201084.7965,0.616580088,ABUR,2019,Pink,1,Experimental
10,PinkB,216168.062,206326.0345,0.633447044,ABUR,2019,Pink,2,Experimental
11,PurpleA,98431.612,88589.5845,0.254556493,ABUR,2019,Purple,1,Control
