Analysis_ID,Sample_ID,raw_NO3,cor_NO3,Site,Year,Replicate,Treatment
362,Paul,0.54,0.54,MICR,2017,1,Experimental
363,Paul,0.95,0.95,MICR,2017,2,Experimental
364,Before,0.14,0.5,MICR,2017,1,Before
365,Before,0.61,0.61,MICR,2017,2,Before
367,Yoko,0.38,0.5,MICR,2017,1,Control
368,Yoko,0.50,0.5,MICR,2017,2,Control
370,Ringo,0.27,0.5,MICR,2017,1,Experimental
371,Ringo,0.52,0.52,MICR,2017,2,Experimental
373,John,1.06,1.06,MICR,2017,1,Experimental
374,John,0.47,0.5,MICR,2017,2,Experimental
376,George,0.58,0.58,MICR,2017,1,Experimental
377,George,0.37,0.5,MICR,2017,2,Experimental
379,Before,1.09,1.09,GOLB,2017,1,Before
380,Before,1.11,1.11,GOLB,2017,2,Before
399,John,0.29,0.5,GOLB,2017,1,Control
400,John,0.51,0.51,GOLB,2017,2,Control
402,Paul,0.48,0.5,GOLB,2017,1,Experimental
403,Paul,0.48,0.5,GOLB,2017,2,Experimental
405,George,0.54,0.54,GOLB,2017,1,Experimental
406,George,0.72,0.72,GOLB,2017,2,Experimental
408,Ringo,0.82,0.82,GOLB,2017,1,Experimental
409,Ringo,0.76,0.76,GOLB,2017,2,Experimental
411,Yoko,1.31,1.31,GOLB,2017,1,Experimental
412,Yoko,1.13,1.13,GOLB,2017,2,Experimental
420,Yoko,0.94,0.94,ABUR,2017,1,Control
421,Yoko,0.91,0.91,ABUR,2017,2,Control
423,John,0.53,0.53,ABUR,2017,1,Experimental
424,John,0.71,0.71,ABUR,2017,2,Experimental
426,George,0.51,0.51,ABUR,2017,1,Experimental
427,George,0.76,0.76,ABUR,2017,2,Experimental
429,Paul,0.79,0.79,ABUR,2017,1,Experimental
430,Paul,0.57,0.57,ABUR,2017,2,Experimental
432,Ringo,0.72,0.72,ABUR,2017,1,Experimental
433,Ringo,0.93,0.93,ABUR,2017,2,Experimental
435,Before,0.92,0.92,ABUR,2017,1,Before
436,Before,1.09,1.09,ABUR,2017,2,Before
545,Before,0.62,0.62,GOSL,2017,1,Before
546,Before,0.61,0.61,GOSL,2017,2,Before
548,John,0.48,0.5,GOSL,2017,1,Control
549,John,0.43,0.5,GOSL,2017,2,Control
551,Paul,0.74,0.74,GOSL,2017,1,Experimental
552,Paul,0.72,0.72,GOSL,2017,2,Experimental
554,George,0.42,0.5,GOSL,2017,1,Experimental
555,George,0.65,0.65,GOSL,2017,2,Experimental
557,Ringo,0.43,0.5,GOSL,2017,1,Experimental
558,Ringo,0.40,0.5,GOSL,2017,2,Experimental
560,Yoko,0.60,0.60,GOSL,2017,1,Experimental
561,Yoko,0.43,0.5,GOSL,2017,2,Experimental
2260,Before,0.21,0.21,MICR,2018,NA,Before
2263,Pink,0.32,0.32,MICR,2018,NA,Experimental
2266,Orange,0.28,0.28,MICR,2018,NA,Experimental
2268,Red,1.00,1.00,MICR,2018,NA,Experimental
2271,Yellow,0.79,0.79,MICR,2018,NA,Experimental
2274,Green,0.23,0.23,MICR,2018,NA,Control
2277,Blue,0.26,0.26,MICR,2018,NA,Control
