DateTime,Depth,Temperature,Salinity,Sigma
2018-08-03T06:00:00Z,0.904,18.55,33.68,24.12
2018-08-03T06:00:00Z,0.952,18.55,33.68,24.13
2018-08-03T06:00:00Z,1.003,18.55,33.68,24.13
2018-08-03T06:00:00Z,1.056,18.55,33.68,24.13
2018-08-03T06:00:00Z,1.112,18.55,33.68,24.13
2018-08-03T06:00:00Z,1.168,18.55,33.68,24.13
2018-08-03T06:00:00Z,1.224,18.55,33.68,24.13
2018-08-03T06:00:00Z,1.279,18.55,33.68,24.13
2018-08-03T06:00:00Z,1.333,18.54,33.68,24.13
2018-08-03T06:00:00Z,1.388,18.54,33.68,24.13
2018-08-03T06:00:00Z,1.442,18.53,33.68,24.13
2018-08-03T06:00:00Z,1.498,18.51,33.68,24.14
2018-08-03T06:00:00Z,1.557,18.5,33.68,24.14
2018-08-03T06:00:00Z,1.619,18.48,33.68,24.14
2018-08-03T06:00:00Z,1.685,18.46,33.68,24.15
2018-08-03T06:00:00Z,1.752,18.43,33.68,24.15
2018-08-03T06:00:00Z,1.821,18.41,33.68,24.16
2018-08-03T06:00:00Z,1.887,18.38,33.68,24.17
2018-08-03T06:00:00Z,1.953,18.36,33.68,24.17
2018-08-03T06:00:00Z,2.015,18.33,33.68,24.18
2018-08-03T06:00:00Z,2.071,18.31,33.67,24.18
2018-08-03T06:00:00Z,2.123,18.29,33.67,24.18
2018-08-03T06:00:00Z,2.169,18.28,33.67,24.18
2018-08-03T06:00:00Z,2.213,18.27,33.67,24.19
2018-08-03T06:00:00Z,2.257,18.26,33.67,24.19
2018-08-03T06:00:00Z,2.304,18.25,33.68,24.2
2018-08-03T06:00:00Z,2.356,18.22,33.68,24.2
2018-08-03T06:00:00Z,2.414,18.2,33.67,24.2
2018-08-03T06:00:00Z,2.474,18.18,33.66,24.2
2018-08-03T06:00:00Z,2.536,18.18,33.66,24.2
2018-08-03T06:00:00Z,2.596,18.19,33.66,24.2
2018-08-03T06:00:00Z,2.655,18.2,33.67,24.2
2018-08-03T06:00:00Z,2.711,18.2,33.67,24.21
2018-08-03T06:00:00Z,2.766,18.19,33.68,24.22
2018-08-03T06:00:00Z,2.82,18.16,33.68,24.22
2018-08-03T06:00:00Z,2.872,18.12,33.68,24.23
2018-08-03T06:00:00Z,2.925,18.07,33.67,24.24
2018-08-03T06:00:00Z,2.977,18.02,33.67,24.25
2018-08-03T06:00:00Z,3.028,17.97,33.67,24.26
2018-08-03T06:00:00Z,3.08,17.91,33.67,24.28
2018-08-03T06:00:00Z,3.13,17.86,33.67,24.29
2018-08-03T06:00:00Z,3.181,17.79,33.67,24.31
2018-08-03T06:00:00Z,3.232,17.73,33.67,24.32
2018-08-03T06:00:00Z,3.281,17.67,33.66,24.33
2018-08-03T06:00:00Z,3.332,17.62,33.66,24.34
2018-08-03T06:00:00Z,3.384,17.58,33.66,24.35
2018-08-03T06:00:00Z,3.438,17.53,33.67,24.36
2018-08-03T06:00:00Z,3.496,17.48,33.66,24.38
2018-08-03T06:00:00Z,3.554,17.43,33.66,24.38
2018-08-03T06:00:00Z,3.615,17.38,33.66,24.39
2018-08-03T06:00:00Z,3.678,17.34,33.65,24.4
2018-08-03T06:00:00Z,3.74,17.31,33.65,24.41
2018-08-03T06:00:00Z,3.802,17.28,33.65,24.41
2018-08-03T06:00:00Z,3.863,17.26,33.65,24.41
2018-08-03T06:00:00Z,3.922,17.25,33.65,24.42
2018-08-03T06:00:00Z,3.978,17.24,33.65,24.42
2018-08-03T06:00:00Z,4.034,17.23,33.65,24.42
2018-08-03T06:00:00Z,4.088,17.22,33.65,24.42
2018-08-03T06:00:00Z,4.138,17.22,33.65,24.42
2018-08-03T06:00:00Z,4.187,17.22,33.65,24.42
2018-08-03T06:00:00Z,4.234,17.21,33.65,24.43
2018-08-03T06:00:00Z,4.278,17.21,33.65,24.43
