time,Collection_Date,Time,Depth,meanNH4,Temp,chl_a,tide_pub,Hours,Trial
8/3/18 6:00,8/3/18,6:00,1,1.615,18.549,1.2096,0.723,0,1
8/3/18 6:00,8/3/18,6:00,3,1.085,17.9405,1.4648,0.723,0,1
8/3/18 6:00,8/3/18,6:00,5,1.38,17.0475,1.0148,0.723,0,1
8/3/18 10:00,8/3/18,10:00,1,1.105,18.558,1.3138,0.623,4,1
8/3/18 10:00,8/3/18,10:00,3,1.6,17.559,0.9941,0.623,4,1
8/3/18 10:00,8/3/18,10:00,5,1.06,17.044,1.2081,0.623,4,1
8/3/18 14:00,8/3/18,14:00,1,1.11,18.9965,0.6246,1.351,8,1
8/3/18 14:00,8/3/18,14:00,3,0.67,18.563,0.9674,1.351,8,1
8/3/18 14:00,8/3/18,14:00,5,0.61,17.747,1.6158,1.351,8,1
8/3/18 18:00,8/3/18,18:00,1,0.89,18.522,1.0104,1.164,12,1
8/3/18 18:00,8/3/18,18:00,3,0.345,17.898,1.8424,1.164,12,1
8/3/18 18:00,8/3/18,18:00,5,0.285,17.7955,3.0316,1.164,12,1
8/3/18 22:00,8/3/18,22:00,1,1.64,17.714,0.7285,0.696,16,1
8/3/18 22:00,8/3/18,22:00,3,1.455,17.0775,0.9303,0.696,16,1
8/3/18 22:00,8/3/18,22:00,5,1.35,17.014,1.0873,0.696,16,1
8/4/18 2:00,8/4/18,2:00,1,0.91,18.0865,2.0085,1.064,20,1
8/4/18 2:00,8/4/18,2:00,3,0.98,18,1.7669,1.064,20,1
8/4/18 2:00,8/4/18,2:00,5,0.805,16.898,2.0262,1.064,20,1
8/4/18 6:00,8/4/18,6:00,1,0.44,17.845,2.2118,0.888,24,1
8/4/18 6:00,8/4/18,6:00,3,0.445,17.4575,1.9179,0.888,24,1
8/4/18 6:00,8/4/18,6:00,5,0.84,17.039,2.0262,0.888,24,1
8/4/18 10:00,8/4/18,10:00,1,0.27,18.467,1.8726,0.612,28,1
8/4/18 10:00,8/4/18,10:00,3,0.495,17.0775,1.7367,0.612,28,1
8/4/18 10:00,8/4/18,10:00,5,0.885,16.976,2.1809,0.612,28,1
8/4/18 14:00,8/4/18,14:00,1,0.25,19.428,0.9006,1.347,32,1
8/4/18 14:00,8/4/18,14:00,3,0.155,19.277,0.7567,1.347,32,1
8/4/18 14:00,8/4/18,14:00,5,0.21,18.832,NA,1.347,32,1
8/4/18 18:00,8/4/18,18:00,1,0.66,19.725,0.7671,1.399,36,1
8/4/18 18:00,8/4/18,18:00,3,0.44,19.044,0.9036,1.399,36,1
8/4/18 18:00,8/4/18,18:00,5,0.205,18.868,1.2368,1.399,36,1
8/10/18 6:00,8/10/18,6:00,1,1.725,19.308,2.4346,0.236,0,3
8/10/18 6:00,8/10/18,6:00,3,1.275,18.8415,2.3096,0.236,0,3
8/10/18 6:00,8/10/18,6:00,5,1.33,18.648,2.2726,0.236,0,3
8/10/18 10:00,8/10/18,10:00,1,0.095,19.8425,2.8373,1.424,4,3
8/10/18 10:00,8/10/18,10:00,3,0.05,19.565,3.6889,1.424,4,3
8/10/18 10:00,8/10/18,10:00,5,0.1,19.282,4.1194,1.424,4,3
8/10/18 14:00,8/10/18,14:00,1,0.11,20.6065,1.7912,0.772,8,3
8/10/18 14:00,8/10/18,14:00,3,0.13,20.56,1.8236,0.772,8,3
8/10/18 14:00,8/10/18,14:00,5,0.05,20.5115,2.0504,0.772,8,3
8/10/18 18:00,8/10/18,18:00,1,0.28,21.284,1.5274,1.308,12,3
8/10/18 18:00,8/10/18,18:00,3,0.055,21.2505,1.6801,1.308,12,3
8/10/18 18:00,8/10/18,18:00,5,0.05,20.795,1.5598,1.308,12,3
8/10/18 22:00,8/10/18,22:00,1,0.29,21.592,1.3608,2.185,16,3
8/10/18 22:00,8/10/18,22:00,3,0.185,21.5895,1.2775,2.185,16,3
8/10/18 22:00,8/10/18,22:00,5,0.35,21.564,1.296,2.185,16,3
8/11/18 2:00,8/11/18,2:00,1,1.675,20.467333,0.7082,0.401,20,3
8/11/18 2:00,8/11/18,2:00,3,1.715,19.8765,0.9402,0.401,20,3
8/11/18 2:00,8/11/18,2:00,5,2.005,19.5985,0.8054,0.401,20,3
8/11/18 6:00,8/11/18,6:00,1,1.235,20.279,1.7311,-0.057,24,3
8/11/18 6:00,8/11/18,6:00,3,1.24,19.801,1.333,-0.057,24,3
8/11/18 6:00,8/11/18,6:00,5,1.45,19.624,1.2358,-0.057,24,3
8/11/18 10:00,8/11/18,10:00,1,0.055,20.2945,2.6475,1.419,28,3
8/11/18 10:00,8/11/18,10:00,3,0.38,20.0465,3.3603,1.419,28,3
8/11/18 10:00,8/11/18,10:00,5,0.145,19.6795,2.4577,1.419,28,3
8/11/18 14:00,8/11/18,14:00,1,1.08,20.716,1.7588,0.9,32,3
