DateTime,Depth,NH4,NO3_NO2,DOC,Chla,Phaeo,Chla_Phaeo,Total_Chl
2018-08-03T06:00:00Z,1,1.61,0.2,90.87,1.21,0.4,1.61,1.4
2018-08-03T06:00:00Z,3,1.08,0.2,91.45,1.46,0.5,1.97,1.7
2018-08-03T06:00:00Z,5,1.38,0.2,90.02,1.01,0.39,1.4,1.2
2018-08-03T10:00:00Z,1,1.1,0.2,89.76,1.31,0.57,1.88,1.58
2018-08-03T10:00:00Z,3,1.6,0.29,86.91,0.99,0.64,1.63,1.29
2018-08-03T10:00:00Z,5,1.06,0.24,83.97,1.21,0.57,1.78,1.48
2018-08-03T14:00:00Z,1,1.11,0.2,87.09,0.62,0.19,0.82,0.71
2018-08-03T14:00:00Z,3,0.67,0.2,90.73,0.97,0.3,1.27,1.11
2018-08-03T14:00:00Z,5,0.61,0.2,95.17,1.62,0.63,2.24,1.91
2018-08-03T18:00:00Z,1,0.89,0.2,89.64,1.01,0.36,1.37,1.18
2018-08-03T18:00:00Z,3,0.34,0.2,88.28,1.84,0.66,2.5,2.15
2018-08-03T18:00:00Z,5,0.28,0.2,85.28,3.03,0.81,3.84,3.41
2018-08-03T22:00:00Z,1,1.64,0.33,90.75,0.73,0.54,1.27,0.98
2018-08-03T22:00:00Z,3,1.46,0.31,86.93,0.93,0.71,1.64,1.26
2018-08-03T22:00:00Z,5,1.35,0.3,85.47,1.09,0.95,2.04,1.53
2018-08-04T02:00:00Z,1,0.91,0.2,91.1,2.01,0.92,2.93,2.44
2018-08-04T02:00:00Z,3,0.98,0.2,87.1,1.77,0.97,2.74,2.22
2018-08-04T02:00:00Z,5,0.8,0.2,83.52,2.03,1,3.03,2.5
2018-08-04T06:00:00Z,1,0.44,0.2,90.37,2.21,1.12,3.34,2.74
2018-08-04T06:00:00Z,3,0.44,0.2,708.85,1.92,1.01,2.93,2.39
2018-08-04T06:00:00Z,5,0.84,0.2,96.94,2.03,1,3.03,2.5
2018-08-04T10:00:00Z,1,0.27,0.2,90.2,1.87,0.92,2.79,2.3
2018-08-04T10:00:00Z,3,0.5,0.2,91.47,1.74,0.83,2.57,2.13
2018-08-04T10:00:00Z,5,0.88,0.2,83.35,2.18,1.05,3.23,2.68
2018-08-04T14:00:00Z,1,0.25,0.2,90.34,0.9,0.34,1.24,1.06
2018-08-04T14:00:00Z,3,0.16,0.2,83.82,0.76,0.3,1.05,0.89
