ID,Site,Year,Depth,Core,Cumul_value_3.9um,Cumul_value_31um,Cumul_value_62.5um,Cumul_value_125um,Diameter_5perc,Diameter_7perc,Diameter_10perc,Diameter_16perc,Diameter_50perc,Diameter_84perc,Diameter_90perc,Diameter_95perc,Diameter_98perc,perc_Clay,perc_Silt,perc_Sand
300_001,IVEE,2015,10,T,3.701136947,16.74769974,27.94786358,60.75,5.597449541,8.596683025,13.52416754,28.44519043,102.230732,217.3077393,279.0203094,362.3002319,441.3288116,3.701136947,24.24672663,72.05213642
300_002,IVEE,2015,10,T,3.284014106,13.80997801,22.97483444,53.33999825,6.981314421,10.95558214,18.32531738,41.42933464,117.8446732,249.0770111,311.8063507,385.8357849,457.9191589,3.284014106,19.69082034,77.02516556
300_003,IVEE,2015,10,B,2.560332179,10.6370573,15.8657918,31.24499989,9.452403069,14.91847181,28.21777153,63.61763573,175.5974503,334.5059509,383.4032745,442.0994263,486.6686096,2.560332179,13.30545962,84.1342082
300_004,IVEE,2015,10,B,7.634232283,42.28184509,62.13504219,80.10499954,2.777990699,3.600502849,5.029228449,8.267636776,41.54234886,151.291153,215.8607407,312.5381012,406.2663727,7.634232283,54.50080991,37.86495781
300_005,IVEE,2015,20,T,4.688762188,20.08605003,31.13926506,66.4849987,4.210493565,6.504279375,10.29101467,20.54698753,96.72402191,167.7990494,193.7234955,232.6946411,294.243309,4.688762188,26.45050287,68.86073494
300_006,IVEE,2015,20,T,4.131828785,17.67092896,28.64398289,67.37999725,4.950422764,7.816589594,12.47651911,25.84819031,96.92126846,164.4252625,189.3292847,226.9984665,286.7672424,4.131828785,24.5121541,71.35601711
300_007,IVEE,2015,20,B,3.287570953,13.93592787,21.3268528,52.93000031,6.676794767,10.30060482,17.28264809,40.72564697,119.8128319,200.5525513,236.024292,295.1914673,385.3340454,3.287570953,18.03928185,78.6731472
300_008,IVEE,2015,20,B,3.704017878,14.0143261,21.38769245,56.29500008,5.995456457,9.701570988,16.78433895,41.18519592,114.8058662,185.5813828,212.5834579,254.2467041,317.6091614,3.704017878,17.68367457,78.61230755
300_009,REFU,2015,10,T,1.931894004,7.453661919,11.5725193,46.37999916,17.67403412,28.24342537,54.34376526,75.93524551,130.3039703,203.6311035,236.426712,292.2437439,381.2559662,1.931894004,9.640625298,88.4274807
300_010,REFU,2015,10,T,5.990820169,27.82504654,41.65465164,70.13999939,3.280026078,4.6304245,7.099060535,12.48576212,80.9722023,170.3165207,209.2022018,282.0033646,382.3291168,5.990820169,35.66383147,58.34534836
300_011,REFU,2015,10,B,2.478059292,9.405535698,14.19603443,47.40499878,11.36485577,19.66484261,34.81440735,68.60587692,129.0089188,207.317131,243.4497299,308.88974,397.4237366,2.478059292,11.71797514,85.80396557
300_012,REFU,2015,10,B,20.89619446,89.81481934,99.82504654,100,1.369974494,1.717711806,2.186552644,3.090656042,9.947838306,26.45507336,31.98734856,37.99664593,43.81506538,20.89619446,78.92885208,0.174953461
300_013,REFU,2015,20,T,5.180368662,23.11260986,38.46744347,83.51499939,3.740246534,5.681818247,9.108282089,17.14162827,76.81928253,126.1786423,142.8618164,165.2994919,191.3939896,5.180368662,33.2870748,61.53255653
300_014,REFU,2015,20,T,4.699083328,20.87214279,35.45879936,80.48500061,4.20266223,6.572192669,10.51679468,20.21729374,80.84865952,132.763855,150.1791687,174.3221207,203.3511581,4.699083328,30.75971603,64.54120064
300_015,REFU,2015,20,B,4.370625973,18.08822727,29.6925087,75.40499878,4.648507595,7.416823149,12.09992123,24.86044025,89.21330643,142.8719025,161.428833,186.7160721,216.6971207,4.370625973,25.32188272,70.3074913
300_016,REFU,2015,20,B,5.312170982,26.14132023,42.81912041,83.94000244,3.663480878,5.293080807,8.144291878,14.36847448,72.08529282,125.1877861,143.2530746,167.6356812,196.4180756,5.312170982,37.50694942,57.18087959
300_017,AQUE,2015,10,T,2.888709784,12.15819407,19.92063999,70.13999557,8.844069958,14.5831542,23.52683067,52.63225365,100.0502701,150.2618103,168.0143967,192.1270676,221.6973953,2.888709784,17.03193021,80.07936001
300_018,AQUE,2015,10,T,2.854861021,11.94849968,19.26915169,67.69499969,8.835085869,14.68728399,23.92974472,54.09481621,102.7887497,155.0022812,173.3540344,197.8825531,227.9362488,2.854861021,16.41429067,80.73084831
300_019,AQUE,2015,10,B,3.123573661,14.19676018,23.5521946,72.15000153,7.373273611,11.54020929,19.04843712,39.90615654,96.39373016,147.4401474,165.4589767,189.7164917,219.3720474,3.123573661,20.42862093,76.4478054
300_020,AQUE,2015,10,B,2.828542233,12.98494387,21.22673035,66.49500275,8.377829552,13.21166182,21.55784607,47.10196495,102.3253136,162.9830017,188.5604477,237.3442688,353.7776947,2.828542233,18.39818811,78.77326965
300_021,AQUE,2015,20,T,3.68249464,16.94236183,34.1858654,87.01999664,6.063159943,9.834930897,16.31112623,28.52114105,77.99582291,119.1495056,132.7025146,150.9606857,171.6689606,3.68249464,30.50337076,65.8141346
300_022,AQUE,2015,20,T,3.862871051,17.47241116,32.7832737,85.26499939,5.617868185,9.043317318,15.05869579,27.13453007,80.42033386,122.6693459,136.7389374,155.3628082,175.7724152,3.862871051,28.92040265,67.2167263
300_023,AQUE,2015,20,B,4.349252939,18.52734184,31.10544968,82.48999786,4.705009222,7.562324047,12.39468908,24.41900921,84.1175766,127.9908295,142.3905411,160.94104,180.8188705,4.349252939,26.75619674,68.89455032
300_024,AQUE,2015,20,B,3.816545486,16.97058678,30.67648983,83.49499893,5.708806753,9.144435883,15.14941454,28.2881155,83.18703461,126.0096855,140.2655106,158.8480148,178.8599854,3.816545486,26.85994434,69.32351017
300_025,AHND,2015,10,T,2.919529915,11.98331022,19.81165218,68.17499924,9.047651052,15.24597645,24.3683424,52.24446106,102.1798744,154.0287094,172.1792297,196.7125702,226.6235123,2.919529915,16.89212227,80.18834782
300_026,AHND,2015,10,T,2.252295494,9.646119118,14.60312414,63.70499992,13.11508989,20.81885433,35.05093861,65.41177368,108.9772568,159.4505692,177.4586792,201.2350998,230.3293762,2.252295494,12.35082865,85.39687586
300_027,AHND,2015,10,B,3.424447894,15.97767591,25.00856113,70.20000076,6.479818821,9.972614765,16.06369448,31.48309898,98.21128845,151.2086487,169.4689789,194.3033676,224.2951355,3.424447894,21.58411324,74.99143887
300_028,AHND,2015,10,B,3.435991764,17.41935158,29.21152115,74.46500015,6.27804184,9.542819977,14.92551231,27.37798786,90.87438202,144.2610168,162.6662827,187.5727997,217.3664856,3.435991764,25.77552938,70.78847885
300_029,AHND,2015,20,T,3.419040322,14.72817373,26.83349705,81.52000046,6.904765368,11.30430937,18.72742176,36.73106766,87.04682541,129.6735687,143.8924789,162.3240891,181.9643784,3.419040322,23.41445673,73.16650295
300_030,AHND,2015,20,T,3.427652836,15.06087732,26.95342731,81.47499847,6.849122047,11.08284712,18.22635365,35.4935894,87.05776978,129.7866058,143.9615173,162.3963928,182.0326767,3.427652836,23.52577448,73.04657269
300_031,AHND,2015,20,B,3.588825464,14.9259305,25.39171314,79.68499756,6.380321026,10.40385246,17.54693604,36.67063141,89.56159592,132.8802338,146.965416,166.0372543,187.4788742,3.588825464,21.80288768,74.60828686
300_032,AHND,2015,20,B,3.588099241,15.38223124,26.57820892,80.31999969,6.335778475,10.25811148,17.15973568,33.66128349,88.29833603,131.8002625,146.0006332,165.2193069,186.8576889,3.588099241,22.99010968,73.42179108
300_033,ABUR,2015,10,T,1.981155455,8.152994156,11.89725447,54.30000114,16.25225353,25.60783005,48.51169014,74.44785309,119.9029388,173.1006088,191.2870026,216.3306808,243.8623199,1.981155455,9.916099012,88.10274553
300_034,ABUR,2015,10,T,2.344384909,9.594939232,14.16520882,56.84499931,12.17839956,20.34979057,33.68688011,68.12962341,116.8720131,170.1927032,188.4947357,211.8968353,238.6335449,2.344384909,11.82082391,85.83479118
300_035,ABUR,2015,10,B,2.796656966,11.04481316,16.98949909,60.5549984,9.602637291,16.34579468,26.91939068,58.75435066,112.1269417,165.7659531,184.2193909,208.2470322,236.0813522,2.796656966,14.19284213,83.01050091
300_036,ABUR,2015,10,B,2.353501916,9.777990341,14.67462063,57.02000046,12.09477472,20.33638,32.06632042,66.4787674,116.6095123,170.1907578,188.5905609,211.9730453,238.7511292,2.353501916,12.32111871,85.32537937
300_037,ABUR,2015,20,T,4.446443319,20.22799301,38.76992226,88.39500046,4.488593817,7.060306311,11.58722878,22.05797863,73.85824966,115.6900978,129.3305092,147.885788,169.1160355,4.446443319,34.32347894,61.23007774
300_038,ABUR,2015,20,T,4.588400364,19.65691757,37.68770599,87.33499908,4.358767033,7.03619957,11.72882557,22.70552063,75.10111618,118.1208687,132.2032928,151.1262131,172.4317245,4.588400364,33.09930563,62.31229401
300_039,ABUR,2015,20,B,4.722523928,19.97230339,34.81914902,83.56499863,4.183579326,6.558917522,10.74850273,21.57821465,79.88644028,126.0643883,141.5121613,161.9984665,184.9031296,4.722523928,30.09662509,65.18085098
300_040,ABUR,2015,20,B,5.710979223,26.45037556,46.13454819,89.74499893,3.392570257,4.934438229,7.801322222,14.3842597,66.75974655,111.4532242,125.7606163,144.9125824,167.019043,5.710979223,40.42356896,53.86545181
300_041,MOHK,2015,10,T,1.370350301,4.843702555,6.973123789,30.27500057,32.5223093,62.14904976,82.79896927,99.62903976,155.8466263,247.7210388,299.2537079,372.7931824,446.3032227,1.370350301,5.602773488,93.02687621
300_042,MOHK,2015,10,T,1.495630562,5.566450596,8.075790882,33.87499809,26.80729103,47.36585617,75.32973862,94.00419617,149.650589,236.8345566,281.1405182,354.5465698,431.4610748,1.495630562,6.58016032,91.92420912
300_043,MOHK,2015,10,B,1.661263466,6.249086857,9.119681835,34.12499809,22.21678734,37.38308525,68.832798,91.41540909,150.805687,252.557312,315.3618622,387.3007202,458.6636658,1.661263466,7.458418369,90.88031816
300_044,MOHK,2015,10,B,1.749657631,6.513310909,9.670142174,35.55999947,21.08215523,35.46301937,64.58207321,89.2079277,147.714035,237.3934021,283.0886841,357.588028,434.5095673,1.749657631,7.920484543,90.32985783
300_045,MOHK,2015,20,T,4.136354208,18.57250595,30.41275501,70.30999756,4.890445471,7.587983131,12.01672935,24.00061798,92.31534958,160.5061569,190.3677673,252.3081818,366.484314,4.136354208,26.2764008,69.58724499
300_046,MOHK,2015,20,T,3.070157647,12.03055143,21.28082371,62.5700016,8.197178841,13.72325897,23.35618114,49.7465744,105.2916946,183.5529709,229.1480484,315.0942535,413.2935638,3.070157647,18.21066606,78.71917629
300_047,MOHK,2015,20,B,4.628260136,21.21168423,33.51671982,68.02499771,4.338742375,6.490947008,10.13860178,19.72157717,91.62076187,177.2200317,228.5481339,321.3813171,418.1264191,4.628260136,28.88845968,66.48328018
300_048,MOHK,2015,20,B,4.337937117,18.91709995,29.08289051,64.86499786,4.57939291,6.996857882,10.96199179,22.71470356,99.33476257,176.993927,213.5273132,288.7750244,391.1185608,4.337937117,24.74495339,70.91710949
300_049,GOLB,2015,10,T,2.172373295,8.69771862,16.76278782,62.21500015,14.86597204,22.60917282,43.67621613,60.919384,106.3858414,186.4372482,237.1370163,328.5099182,420.642334,2.172373295,14.59041452,83.23721218
