ID,Site,Depth,Replicate,Core,Date,OM,d15N,Nitrogen,d13C,Carbon,C_N,Lambda,Sigma8,Lignin_S,Lignin_V,Lignin_C,Lignin_P,Lignin_S_V,Lignin_C_V,Lignin_P_V_S,Lignin_Bd_V,Lignin_AcAd_s,Lignin_AcAd_v
300_001,AQUE,10,1,B,2015-12-16,2.54,1.53,0.055,-23.1,0.45,8.18,0.53,0.24,0.35,0.16,0.01,0.13,2.14,0.09,0.25,0.45,0.3,0.4
300_002,AQUE,10,1,T,2015-12-16,1.18,0.98,0.052,-22.79,0.39,7.5,0.46,0.18,0.34,0.11,0.01,0.12,2.94,0.09,0.27,0.32,0.29,0.35
300_003,AQUE,10,2,B,2015-12-16,1.63,1.71,0.065,-24.54,0.97,14.92,0.2,0.19,0.14,0.05,0,0.05,2.62,0.06,0.26,0.33,0.3,0.2
300_004,AQUE,10,2,T,2015-12-16,1.19,0.85,0.055,-23.45,0.45,8.18,0.31,0.14,0.19,0.11,0.01,0.08,1.68,0.07,0.26,0.31,0.33,0.35
300_005,AQUE,20,1,B,2015-12-16,2.1,2.45,0.065,-23.45,0.69,10.62,1.39,0.96,0.96,0.4,0.03,0.25,2.4,0.07,0.19,0.2,0.06,0.2
300_006,AQUE,20,1,T,2015-12-16,1.47,1.89,0.06,-23.9,0.53,8.83,0.84,0.45,0.6,0.2,0.03,0.13,2.96,0.16,0.16,0.37,0.24,0.14
300_007,AQUE,20,2,B,2015-12-16,1.72,1.9,0.074,-23.34,0.73,9.86,1.11,0.81,0.73,0.32,0.06,0.15,2.31,0.19,0.14,0.26,0.1,0.14
300_008,AQUE,20,2,T,2015-12-16,2.31,2.52,0.069,-23.52,0.67,9.71,1.29,0.86,0.83,0.39,0.06,0.16,2.12,0.16,0.13,0.22,0.19,0.16
300_009,IVEE,20,1,B,2015-12-16,1.72,1.67,0.055,-23.33,1.06,19.27,0.15,0.16,0.11,0.04,0,0.02,2.77,0.08,0.11,0.18,0.27,0.19
300_010,IVEE,20,1,T,2015-12-16,1.32,1.77,0.057,-22.45,0.43,7.54,0.47,0.2,0.34,0.11,0.01,0.11,3.03,0.13,0.23,0.34,0.24,0.48
300_011,IVEE,20,2,B,2015-12-16,1.06,0.79,0.041,-22.85,0.39,9.51,0.26,0.1,0.17,0.09,0.01,0.08,1.98,0.1,0.32,0.32,0.35,0.36
300_012,IVEE,20,2,T,2015-12-16,1.24,3.03,0.064,-22.84,0.48,7.5,0.58,0.28,0.4,0.17,0.01,0.11,2.39,0.09,0.19,0.19,0.2,0.31
300_013,IVEE,10,1,B,2015-12-16,2.84,5.38,0.119,-21.49,1.36,11.43,0.08,0.1,0.06,0.02,0,0.13,3.26,0.23,1.84,0.62,0.31,0.27
