"","Date","Time_LST_LDT","Predicted_m","Preliminary_m","Verified_m","Hour","SampleDate"
"7","8/3/18","6:00",0.656,"-",0.723,0,"A"
"8","8/3/18","7:00",0.513,"-",0.521,1,"A"
"9","8/3/18","8:00",0.435,"-",0.495,2,"A"
"10","8/3/18","9:00",0.45,"-",0.461,3,"A"
"11","8/3/18","10:00",0.556,"-",0.623,4,"A"
"12","8/3/18","11:00",0.731,"-",0.776,5,"A"
"13","8/3/18","12:00",0.947,"-",1.014,6,"A"
"14","8/3/18","13:00",1.162,"-",1.19,7,"A"
"15","8/3/18","14:00",1.324,"-",1.351,8,"A"
"16","8/3/18","15:00",1.401,"-",1.448,9,"A"
"17","8/3/18","16:00",1.385,"-",1.45,10,"A"
"18","8/3/18","17:00",1.281,"-",1.343,11,"A"
"19","8/3/18","18:00",1.117,"-",1.164,12,"A"
"20","8/3/18","19:00",0.936,"-",1.005,13,"A"
"21","8/3/18","20:00",0.776,"-",0.817,14,"A"
"22","8/3/18","21:00",0.67,"-",0.728,15,"A"
"23","8/3/18","22:00",0.636,"-",0.696,16,"A"
"24","8/3/18","23:00",0.666,"-",0.759,17,"A"
"25","8/4/18","0:00",0.747,"-",0.857,18,"A"
"26","8/4/18","1:00",0.856,"-",0.942,19,"A"
"27","8/4/18","2:00",0.952,"-",1.064,20,"A"
"28","8/4/18","3:00",1.002,"-",1.05,21,"A"
"29","8/4/18","4:00",0.997,"-",1.045,22,"A"
"30","8/4/18","5:00",0.933,"-",1.02,23,"A"
"31","8/4/18","6:00",0.823,"-",0.888,24,"A"
"32","8/4/18","7:00",0.7,"-",0.808,25,"A"
"33","8/4/18","8:00",0.601,"-",0.63,26,"A"
"34","8/4/18","9:00",0.554,"-",0.609,27,"A"
"35","8/4/18","10:00",0.584,"-",0.612,28,"A"
"36","8/4/18","11:00",0.691,"-",0.722,29,"A"
"37","8/4/18","12:00",0.861,"-",0.89,30,"A"
"38","8/4/18","13:00",1.071,"-",1.088,31,"A"
"39","8/4/18","14:00",1.277,"-",1.347,32,"A"
"40","8/4/18","15:00",1.428,"-",1.45,33,"A"
"41","8/4/18","16:00",1.496,"-",1.626,34,"A"
"42","8/4/18","17:00",1.468,"-",1.508,35,"A"
"43","8/4/18","18:00",1.342,"-",1.399,36,"A"
"103","8/7/18","6:00",0.89,"-",1.004,0,"B"
"104","8/7/18","7:00",1.038,"-",1.128,1,"B"
"105","8/7/18","8:00",1.083,"-",1.187,2,"B"
"106","8/7/18","9:00",1.034,"-",1.183,3,"B"
"107","8/7/18","10:00",0.924,"-",1.072,4,"B"
"108","8/7/18","11:00",0.798,"-",0.91,5,"B"
"109","8/7/18","12:00",0.718,"-",0.843,6,"B"
"110","8/7/18","13:00",0.732,"-",0.86,7,"B"
"111","8/7/18","14:00",0.853,"-",1.025,8,"B"
"112","8/7/18","15:00",1.072,"-",1.171,9,"B"
"113","8/7/18","16:00",1.354,"-",1.505,10,"B"
"114","8/7/18","17:00",1.632,"-",1.785,11,"B"
"115","8/7/18","18:00",1.834,"-",1.961,12,"B"
"116","8/7/18","19:00",1.902,"-",1.994,13,"B"
"117","8/7/18","20:00",1.804,"-",1.907,14,"B"
"118","8/7/18","21:00",1.541,"-",1.677,15,"B"
"119","8/7/18","22:00",1.161,"-",1.273,16,"B"
"120","8/7/18","23:00",0.727,"-",0.841,17,"B"
"121","8/8/18","0:00",0.32,"-",0.444,18,"B"
"122","8/8/18","1:00",0.023,"-",0.173,19,"B"
"123","8/8/18","2:00",-0.118,"-",-0.009,20,"B"
"124","8/8/18","3:00",-0.091,"-",0.015,21,"B"
"125","8/8/18","4:00",0.094,"-",0.18,22,"B"
"126","8/8/18","5:00",0.384,"-",0.49,23,"B"
"127","8/8/18","6:00",0.701,"-",0.786,24,"B"
"128","8/8/18","7:00",0.971,"-",1.055,25,"B"
"129","8/8/18","8:00",1.14,"-",1.25,26,"B"
"130","8/8/18","9:00",1.176,"-",1.329,27,"B"
