Date_Time_B5,Temp_B5,Date_Time_B15,Temp_B15,Date_Time_B30,Temp_B30,Date_Time_B45,Temp_B45,Date_Time_A50,Temp_A50,Date_Time_A10,Temp_A10
8/8/2016 22:00,21.294,8/8/2016 22:00,21.223,8/8/2016 22:00,21.604,8/8/2016 22:00,21.103,8/8/2016 22:00,21.223,8/8/2016 22:00,21.867
8/8/2016 22:05,21.366,8/8/2016 22:05,21.223,8/8/2016 22:05,22.896,8/8/2016 22:05,21.199,8/8/2016 22:05,21.318,8/8/2016 22:05,21.795
8/8/2016 22:10,21.437,8/8/2016 22:10,22.058,8/8/2016 22:10,22.729,8/8/2016 22:10,21.294,8/8/2016 22:10,21.366,8/8/2016 22:10,22.561
8/8/2016 22:15,22.633,8/8/2016 22:15,22.776,8/8/2016 22:15,22.345,8/8/2016 22:15,21.032,8/8/2016 22:15,21.103,8/8/2016 22:15,23.04
8/8/2016 22:20,22.609,8/8/2016 22:20,22.274,8/8/2016 22:20,21.939,8/8/2016 22:20,22.154,8/8/2016 22:20,21.652,8/8/2016 22:20,22.585
8/8/2016 22:25,22.489,8/8/2016 22:25,22.369,8/8/2016 22:25,22.8,8/8/2016 22:25,22.848,8/8/2016 22:25,23.593,8/8/2016 22:25,22.513
8/8/2016 22:30,22.729,8/8/2016 22:30,21.772,8/8/2016 22:30,21.819,8/8/2016 22:30,23.376,8/8/2016 22:30,23.93,8/8/2016 22:30,21.939
8/8/2016 22:35,22.944,8/8/2016 22:35,22.178,8/8/2016 22:35,24.026,8/8/2016 22:35,22.848,8/8/2016 22:35,23.833,8/8/2016 22:35,23.328
8/8/2016 22:40,22.465,8/8/2016 22:40,21.819,8/8/2016 22:40,23.112,8/8/2016 22:40,22.441,8/8/2016 22:40,23.112,8/8/2016 22:40,22.657
8/8/2016 22:45,22.202,8/8/2016 22:45,21.652,8/8/2016 22:45,22.705,8/8/2016 22:45,22.154,8/8/2016 22:45,22.681,8/8/2016 22:45,22.345
8/8/2016 22:50,21.987,8/8/2016 22:50,21.509,8/8/2016 22:50,22.369,8/8/2016 22:50,21.939,8/8/2016 22:50,22.369,8/8/2016 22:50,22.106
8/8/2016 22:55,21.795,8/8/2016 22:55,21.413,8/8/2016 22:55,22.106,8/8/2016 22:55,21.772,8/8/2016 22:55,22.106,8/8/2016 22:55,21.891
8/8/2016 23:00,21.676,8/8/2016 23:00,21.342,8/8/2016 23:00,21.915,8/8/2016 23:00,21.676,8/8/2016 23:00,21.891,8/8/2016 23:00,21.748
8/8/2016 23:05,21.581,8/8/2016 23:05,21.39,8/8/2016 23:05,21.963,8/8/2016 23:05,21.557,8/8/2016 23:05,21.7,8/8/2016 23:05,21.891
8/8/2016 23:10,21.39,8/8/2016 23:10,21.199,8/8/2016 23:10,21.652,8/8/2016 23:10,21.342,8/8/2016 23:10,21.461,8/8/2016 23:10,21.604
8/8/2016 23:15,21.223,8/8/2016 23:15,21.056,8/8/2016 23:15,21.437,8/8/2016 23:15,21.175,8/8/2016 23:15,21.294,8/8/2016 23:15,21.413
8/8/2016 23:20,21.079,8/8/2016 23:20,20.96,8/8/2016 23:20,21.246,8/8/2016 23:20,21.008,8/8/2016 23:20,21.127,8/8/2016 23:20,21.246
8/8/2016 23:25,20.984,8/8/2016 23:25,20.865,8/8/2016 23:25,21.103,8/8/2016 23:25,20.913,8/8/2016 23:25,21.008,8/8/2016 23:25,21.127
8/8/2016 23:30,20.865,8/8/2016 23:30,20.793,8/8/2016 23:30,20.984,8/8/2016 23:30,20.793,8/8/2016 23:30,20.865,8/8/2016 23:30,21.032
8/8/2016 23:35,20.793,8/8/2016 23:35,20.722,8/8/2016 23:35,20.889,8/8/2016 23:35,20.698,8/8/2016 23:35,20.77,8/8/2016 23:35,20.936
8/8/2016 23:40,20.722,8/8/2016 23:40,20.674,8/8/2016 23:40,20.793,8/8/2016 23:40,20.65,8/8/2016 23:40,20.698,8/8/2016 23:40,20.865
8/8/2016 23:45,20.674,8/8/2016 23:45,20.627,8/8/2016 23:45,20.746,8/8/2016 23:45,20.579,8/8/2016 23:45,20.627,8/8/2016 23:45,20.793
8/8/2016 23:50,20.627,8/8/2016 23:50,20.603,8/8/2016 23:50,20.698,8/8/2016 23:50,20.531,8/8/2016 23:50,20.579,8/8/2016 23:50,20.77
8/8/2016 23:55,20.603,8/8/2016 23:55,20.555,8/8/2016 23:55,20.65,8/8/2016 23:55,20.484,8/8/2016 23:55,20.507,8/8/2016 23:55,20.722
8/9/2016 0:00,20.555,8/9/2016 0:00,20.531,8/9/2016 0:00,20.627,8/9/2016 0:00,20.46,8/9/2016 0:00,20.484,8/9/2016 0:00,20.698
8/9/2016 0:05,20.531,8/9/2016 0:05,20.507,8/9/2016 0:05,20.603,8/9/2016 0:05,20.436,8/9/2016 0:05,20.436,8/9/2016 0:05,20.65
8/9/2016 0:10,20.507,8/9/2016 0:10,20.484,8/9/2016 0:10,20.555,8/9/2016 0:10,20.388,8/9/2016 0:10,20.388,8/9/2016 0:10,20.627
8/9/2016 0:15,20.46,8/9/2016 0:15,20.46,8/9/2016 0:15,20.531,8/9/2016 0:15,20.365,8/9/2016 0:15,20.365,8/9/2016 0:15,20.603
8/9/2016 0:20,20.46,8/9/2016 0:20,20.436,8/9/2016 0:20,20.507,8/9/2016 0:20,20.341,8/9/2016 0:20,20.341,8/9/2016 0:20,20.579
8/9/2016 0:25,20.46,8/9/2016 0:25,20.436,8/9/2016 0:25,20.507,8/9/2016 0:25,20.341,8/9/2016 0:25,20.317,8/9/2016 0:25,20.579
8/9/2016 0:30,20.46,8/9/2016 0:30,20.436,8/9/2016 0:30,20.531,8/9/2016 0:30,20.341,8/9/2016 0:30,20.317,8/9/2016 0:30,20.579
8/9/2016 0:35,20.46,8/9/2016 0:35,20.436,8/9/2016 0:35,20.531,8/9/2016 0:35,20.341,8/9/2016 0:35,20.293,8/9/2016 0:35,20.579
8/9/2016 0:40,20.436,8/9/2016 0:40,20.436,8/9/2016 0:40,20.507,8/9/2016 0:40,20.317,8/9/2016 0:40,20.293,8/9/2016 0:40,20.555
8/9/2016 0:45,20.436,8/9/2016 0:45,20.412,8/9/2016 0:45,20.507,8/9/2016 0:45,20.317,8/9/2016 0:45,20.269,8/9/2016 0:45,20.555
8/9/2016 0:50,20.436,8/9/2016 0:50,20.412,8/9/2016 0:50,20.507,8/9/2016 0:50,20.317,8/9/2016 0:50,20.269,8/9/2016 0:50,20.555
8/9/2016 0:55,20.436,8/9/2016 0:55,20.436,8/9/2016 0:55,20.531,8/9/2016 0:55,20.317,8/9/2016 0:55,20.269,8/9/2016 0:55,20.555
8/9/2016 1:00,20.436,8/9/2016 1:00,20.436,8/9/2016 1:00,20.531,8/9/2016 1:00,20.317,8/9/2016 1:00,20.293,8/9/2016 1:00,20.579
8/9/2016 1:05,20.436,8/9/2016 1:05,20.436,8/9/2016 1:05,20.531,8/9/2016 1:05,20.317,8/9/2016 1:05,20.293,8/9/2016 1:05,20.579
8/9/2016 1:10,20.436,8/9/2016 1:10,20.436,8/9/2016 1:10,20.531,8/9/2016 1:10,20.317,8/9/2016 1:10,20.293,8/9/2016 1:10,20.579
8/9/2016 1:15,20.436,8/9/2016 1:15,20.436,8/9/2016 1:15,20.531,8/9/2016 1:15,20.317,8/9/2016 1:15,20.293,8/9/2016 1:15,20.555
8/9/2016 1:20,20.46,8/9/2016 1:20,20.436,8/9/2016 1:20,20.531,8/9/2016 1:20,20.341,8/9/2016 1:20,20.293,8/9/2016 1:20,20.579
8/9/2016 1:25,20.46,8/9/2016 1:25,20.436,8/9/2016 1:25,20.531,8/9/2016 1:25,20.341,8/9/2016 1:25,20.269,8/9/2016 1:25,20.579
8/9/2016 1:30,20.46,8/9/2016 1:30,20.436,8/9/2016 1:30,20.531,8/9/2016 1:30,20.317,8/9/2016 1:30,20.269,8/9/2016 1:30,20.579
8/9/2016 1:35,20.436,8/9/2016 1:35,20.436,8/9/2016 1:35,20.531,8/9/2016 1:35,20.317,8/9/2016 1:35,20.269,8/9/2016 1:35,20.555
8/9/2016 1:40,20.436,8/9/2016 1:40,20.412,8/9/2016 1:40,20.531,8/9/2016 1:40,20.317,8/9/2016 1:40,20.246,8/9/2016 1:40,20.555
8/9/2016 1:45,20.436,8/9/2016 1:45,20.412,8/9/2016 1:45,20.531,8/9/2016 1:45,20.317,8/9/2016 1:45,20.246,8/9/2016 1:45,20.555
8/9/2016 1:50,20.436,8/9/2016 1:50,20.436,8/9/2016 1:50,20.531,8/9/2016 1:50,20.317,8/9/2016 1:50,20.246,8/9/2016 1:50,20.555
8/9/2016 1:55,20.436,8/9/2016 1:55,20.412,8/9/2016 1:55,20.531,8/9/2016 1:55,20.317,8/9/2016 1:55,20.246,8/9/2016 1:55,20.555
8/9/2016 2:00,20.412,8/9/2016 2:00,20.412,8/9/2016 2:00,20.507,8/9/2016 2:00,20.293,8/9/2016 2:00,20.222,8/9/2016 2:00,20.531
8/9/2016 2:05,20.412,8/9/2016 2:05,20.388,8/9/2016 2:05,20.484,8/9/2016 2:05,20.269,8/9/2016 2:05,20.198,8/9/2016 2:05,20.507
8/9/2016 2:10,20.388,8/9/2016 2:10,20.365,8/9/2016 2:10,20.46,8/9/2016 2:10,20.269,8/9/2016 2:10,20.198,8/9/2016 2:10,20.507
8/9/2016 2:15,20.388,8/9/2016 2:15,20.365,8/9/2016 2:15,20.46,8/9/2016 2:15,20.269,8/9/2016 2:15,20.174,8/9/2016 2:15,20.484
8/9/2016 2:20,20.365,8/9/2016 2:20,20.365,8/9/2016 2:20,20.436,8/9/2016 2:20,20.246,8/9/2016 2:20,20.174,8/9/2016 2:20,20.484
8/9/2016 2:25,20.365,8/9/2016 2:25,20.341,8/9/2016 2:25,20.412,8/9/2016 2:25,20.222,8/9/2016 2:25,20.15,8/9/2016 2:25,20.46
8/9/2016 2:30,20.317,8/9/2016 2:30,20.293,8/9/2016 2:30,20.388,8/9/2016 2:30,20.198,8/9/2016 2:30,20.126,8/9/2016 2:30,20.436
8/9/2016 2:35,20.293,8/9/2016 2:35,20.269,8/9/2016 2:35,20.365,8/9/2016 2:35,20.174,8/9/2016 2:35,20.126,8/9/2016 2:35,20.412
8/9/2016 2:40,20.269,8/9/2016 2:40,20.246,8/9/2016 2:40,20.317,8/9/2016 2:40,20.15,8/9/2016 2:40,20.103,8/9/2016 2:40,20.365
8/9/2016 2:45,20.246,8/9/2016 2:45,20.222,8/9/2016 2:45,20.293,8/9/2016 2:45,20.126,8/9/2016 2:45,20.079,8/9/2016 2:45,20.341
8/9/2016 2:50,20.222,8/9/2016 2:50,20.198,8/9/2016 2:50,20.269,8/9/2016 2:50,20.126,8/9/2016 2:50,20.103,8/9/2016 2:50,20.317
8/9/2016 2:55,20.222,8/9/2016 2:55,20.174,8/9/2016 2:55,20.269,8/9/2016 2:55,20.126,8/9/2016 2:55,20.103,8/9/2016 2:55,20.317
8/9/2016 3:00,20.198,8/9/2016 3:00,20.174,8/9/2016 3:00,20.246,8/9/2016 3:00,20.103,8/9/2016 3:00,20.079,8/9/2016 3:00,20.293
8/9/2016 3:05,20.174,8/9/2016 3:05,20.15,8/9/2016 3:05,20.222,8/9/2016 3:05,20.079,8/9/2016 3:05,20.079,8/9/2016 3:05,20.269
8/9/2016 3:10,20.15,8/9/2016 3:10,20.103,8/9/2016 3:10,20.198,8/9/2016 3:10,20.055,8/9/2016 3:10,20.055,8/9/2016 3:10,20.222
8/9/2016 3:15,20.126,8/9/2016 3:15,20.079,8/9/2016 3:15,20.174,8/9/2016 3:15,20.031,8/9/2016 3:15,20.031,8/9/2016 3:15,20.222
8/9/2016 3:20,20.126,8/9/2016 3:20,20.079,8/9/2016 3:20,20.174,8/9/2016 3:20,20.031,8/9/2016 3:20,20.031,8/9/2016 3:20,20.198
8/9/2016 3:25,20.103,8/9/2016 3:25,20.055,8/9/2016 3:25,20.15,8/9/2016 3:25,20.007,8/9/2016 3:25,20.031,8/9/2016 3:25,20.174
8/9/2016 3:30,20.079,8/9/2016 3:30,20.031,8/9/2016 3:30,20.126,8/9/2016 3:30,19.984,8/9/2016 3:30,20.007,8/9/2016 3:30,20.15
8/9/2016 3:35,20.055,8/9/2016 3:35,20.007,8/9/2016 3:35,20.103,8/9/2016 3:35,19.96,8/9/2016 3:35,19.984,8/9/2016 3:35,20.126
8/9/2016 3:40,20.031,8/9/2016 3:40,19.984,8/9/2016 3:40,20.079,8/9/2016 3:40,19.96,8/9/2016 3:40,19.984,8/9/2016 3:40,20.103
8/9/2016 3:45,20.031,8/9/2016 3:45,19.984,8/9/2016 3:45,20.079,8/9/2016 3:45,19.96,8/9/2016 3:45,19.96,8/9/2016 3:45,20.103
