STATION,WATER_DEPTH,SED_DEPTH,meanConc,sdConc
ABUR,15,1,45.156666666666666,18.88040342083117
ABUR,15,3,59.09,22.59112215008365
ABUR,15,5,65.77,27.101215839884375
ABUR,15,7,66.17,26.86341005903755
MICR,15,1,43.95,22.053478183724216
MICR,15,3,66.73666666666666,3.2326511307800203
MICR,15,5,47.13,9.724551403535278
MICR,15,7,41.32,15.330009784732688
MICR,15,9,36.486666666666665,10.936408612215134
MOHK,5,1,50.89333333333334,11.704257060289361
MOHK,5,3,53.26,27.75790157774899
MOHK,5,5,49.45333333333333,11.425831844261202
MOHK,5,7,65.98666666666666,6.0102773091874315
MOHK,5,9,49.620000000000005,20.972002765592038
MOHK,5,12.5,53.443333333333335,14.65701993357904
MOHK,7,1,12.934999999999999,2.467802666341051
MOHK,7,3,20.82,3.2668333290818476
MOHK,7,5,18.315,4.164858941188767
MOHK,7,7,22.990000000000002,0.05656854249492511
MOHK,7,9,25.19,6.038691911333116
MOHK,7,12.5,19.765,4.490128060534578
MOHK,10,1,33.45666666666666,5.104902872076345
MOHK,10,3,51.42,19.46837692258911
MOHK,10,5,47.18666666666667,16.589979907562675
MOHK,10,7,54.07,31.0812354966787
MOHK,10,9,28.54,25.34250382262968
MOHK,10,12.5,31.436666666666667,8.41491730995221
MOHK,15,1,54.65,20.039987524946216
MOHK,15,3,51.32333333333333,3.966009749525757
MOHK,15,5,53.800000000000004,7.612561986611341
MOHK,15,7,53.45,4.869527697836827
MOHK,15,9,56.526666666666664,4.934463834433619
MOHK,15,12.5,44.57666666666667,10.833892806066217
MOHK,20,1,14.02,7.451449523414891
MOHK,20,3,19.866666666666667,4.20511989523882
MOHK,20,5,19.57333333333333,8.626478617218808
MOHK,20,7,25.673333333333332,4.568767156830531
MOHK,20,9,26.53,13.713274590702252
MOHK,20,12.5,34.61,5.676195909233577
REFU,15,1,61.834999999999994,26.42458041294128
REFU,15,3,42.595,18.33527883616718
REFU,15,5,46.025,16.69479110381439
REFU,15,8,53,24.748737341529164
